ZIP,PER_SQFT,GR_SQFT,BORO,BACHELORS,POPULATION,EDUCATION,CRIME_INDEX
11220,257.97,2698,3,9227,95953,0.0961616625,143
11221,203.30,2774,3,7691,80314,0.0957616356,140
11222,299.06,2500,3,5774,36039,0.1602153223,151
11223,291.18,2205,3,10101,80614,0.1253008162,121
11224,242.76,1552,3,6576,49303,0.1333793075,77
11225,257.58,2519,3,6957,57771,0.120423742,57
11226,232.30,2604,3,10172,104102,0.0977118595,61
11228,304.69,2128,3,4728,42509,0.1112235056,130
11229,303.39,1768,3,11735,78493,0.1495037774,119
11230,334.87,2328,3,13512,78615,0.1718755963,122
11231,480.21,2400,3,7378,32789,0.2250144866,96
11232,285.81,2142,3,3638,29076,0.1251203742,153
11233,218.72,2565,3,6490,66791,0.0971687802,124
11234,292.62,1728,3,11541,83903,0.1375516966,108
11235,299.56,1966,3,15079,75825,0.1988658094,126
11236,254.05,1920,3,12134,91750,0.1322506812,117
11237,180.44,3066,3,4192,48614,0.086230304,97
11238,344.44,2800,3,9673,46978,0.2059048917,104
11239,231.45,1151,3,1537,12119,0.1268256457,24
11354,314.25,1986,4,8922,58462,0.1526119531,79
11355,309.13,1860,4,12340,83071,0.1485476279,77
11356,276.04,1880,4,3376,23106,0.1461092357,123
11357,370.61,1732,4,5388,38139,0.141272713,118
11358,338.63,1760,4,5933,37249,0.1592794437,125
11360,364.33,1824,4,29,164,0.1768292683,39
11361,364.98,1708,4,4884,28307,0.1725368283,117
11362,382.30,1650,4,3264,17372,0.1878885563,107
11363,415.38,1920,4,1309,6777,0.1931533127,112
11364,377.99,1580,4,6063,33479,0.1810985991,96
11365,342.04,1607,4,7442,39492,0.188443229,80
11366,352.87,1540,4,2364,13115,0.1802516203,104
11367,287.37,1732,4,6490,41261,0.157291389,99
11368,278.18,2290,4,9700,109518,0.0885699154,101
11369,292.77,1895,4,4292,37347,0.114922216,136
11370,304.85,2026,4,3183,28573,0.1113988731,118
11372,306.58,2275,4,8965,66461,0.1348911392,108
11373,286.96,2143,4,15017,101490,0.1479653168,100
11374,319.67,1906,4,9439,42857,0.2202440675,106
11375,395.44,1840,4,14465,68254,0.2119289712,108
11377,291.91,2000,4,12589,90920,0.1384623845,108
11378,275.76,1792,4,3489,35237,0.0990152397,124
11379,285.27,1732,4,4221,34882,0.1210079697,133
11385,227.20,2210,4,9566,96989,0.0986297415,130
11411,287.75,1336,4,2646,17452,0.1516158606,147
11412,246.67,1538,4,4087,35179,0.1161772648,129
11413,258.92,1520,4,5350,38268,0.1398034912,137
11414,281.70,2100,4,2612,25924,0.1007560562,80
11415,304.53,2124,4,3858,18869,0.2044623456,111
11416,249.49,1932,4,2113,24807,0.0851775708,116
11417,278.20,1526,4,2859,27764,0.1029750756,128
11418,258.08,1976,4,4225,36269,0.116490667,119
11419,281.99,1568,4,4182,45969,0.0909743523,134
11420,302.21,1413,4,4421,43318,0.1020591902,145
11421,269.71,1768,4,4805,39606,0.121320002,130
11422,262.76,1572,4,4692,29422,0.1594725036,110
11423,265.33,1776,4,3437,29608,0.1160834909,112
11426,313.80,1472,4,3399,19491,0.1743881792,111
11427,314.07,1551,4,3581,21804,0.16423592,106
11428,293.75,1376,4,2626,18184,0.1444126705,125
11429,254.39,1500,4,3305,24663,0.1340064064,141
11430,241.42,3012,4,15,199,0.0753768844,107
11432,310.19,1886,4,9165,59748,0.1533942559,73
11433,267.11,1464,4,3134,33296,0.0941254205,99
11434,262.50,1480,4,6413,56992,0.1125245649,94
11435,270.73,1651,4,6983,52990,0.1317795811,112
11436,286.59,1266,4,1692,18121,0.0933723304,137
11691,211.22,2035,4,7258,60015,0.1209364326,48
11692,198.26,1980,4,2272,18169,0.125048159,73
11693,245.31,1400,4,1577,12031,0.1310780484,73
11694,306.55,2250,4,2778,19633,0.14149646,91
